"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0071900","regulation of protein serine/threonine kinase activity","11/151","395/18903",0.000339826144402268,0.0159888200941267,0.0127226138974463,"WNT5A/CCND2/RGCC/CEBPA/VEGFA/CD24/ROR2/PTPN22/RASGRP1/TNFRSF11A/CCNJL",11
"GO:0032103","positive regulation of response to external stimulus","12/151","464/18903",0.000357604964529855,0.0162095850837395,0.0128982808765218,"RAC2/TRIM6/WNT5A/IL6/IL16/CEBPA/GPR4/VEGFA/MMP12/MSTN/RASGRP1/TNFRSF11A",12
"GO:0050900","leukocyte migration","11/151","398/18903",0.000362261885571649,0.0162095850837395,0.0128982808765218,"RAC2/WNT5A/ITGA6/IL6/IL16/ICAM1/VEGFA/ROR2/CXCL1/MSTN/TNFRSF11A",11
"GO:0071548","response to dexamethasone","4/151","43/18903",0.000378970108227703,0.0162095850837395,0.0128982808765218,"CYP1B1/PAPPA/MSTN/CLDN1",4
"GO:0023061","signal release","12/151","470/18903",0.000401263006189226,0.0166583156834145,0.0132553445078608,"FOXO1/IL6/KCNMB4/PCSK5/LIF/ADCY1/SNAP25/EPHA5/ADCY5/APBA2/SOX11/TNFRSF11A",12
"GO:0060340","positive regulation of type I interferon-mediated signaling pathway","3/151","19/18903",0.000440792177931877,0.017534996588169,0.0139529364875562,"TRIM6/WNT5A/MMP12",3
"GO:0019693","ribose phosphate metabolic process","12/151","475/18903",0.000441014791980162,0.017534996588169,0.0139529364875562,"GUCY1A2/PDE10A/H19/SLC4A4/NUDT10/ADCY2/ACOT11/ADCY1/ACSL5/GUCY1A1/ADCY5/ELOVL2",12
"GO:0010001","glial cell differentiation","8/151","227/18903",0.000487572291856461,0.0186962661973033,0.0148769812126126,"EGR2/IL6/LIF/LEF1/ROR2/HES1/SOX11/SOX6",8
"GO:0007517","muscle organ development","10/151","348/18903",0.000496712704497961,0.0186962661973033,0.0148769812126126,"EGR2/WNT5A/LIF/SGCA/LEF1/DES/MSTN/SOX11/NEB/SOX6",10
"GO:0045765","regulation of angiogenesis","10/151","349/18903",0.000507920471271359,0.0186987527174271,0.0148789597848461,"WNT5A/THBS2/IL6/RGCC/GPR4/VEGFA/CYP1B1/VASH2/APELA/CHRNA7",10
"GO:0032793","positive regulation of CREB transcription factor activity","3/151","20/18903",0.000515550761372325,0.0186987527174271,0.0148789597848461,"ADCY1/VEGFA/EPHA5",3
"GO:0050920","regulation of chemotaxis","8/151","230/18903",0.000531707145713396,0.0190001173715053,0.0151187614783796,"RAC2/ST6GAL1/WNT5A/IL6/IL16/SEMA3F/VEGFA/MSTN",8
"GO:0031346","positive regulation of cell projection organization","10/151","352/18903",0.00054281138293215,0.0191544566752183,0.0152415722523317,"RAC2/VLDLR/WNT5A/ITGA6/PLEK2/VEGFA/ROR2/PTPRD/ISLR2/MSTN",10
"GO:0097503","sialylation","3/151","21/18903",0.000597964811679586,0.0198594666278996,0.0158025623297119,"ST6GAL1/ST6GAL2/ST8SIA4",3
"GO:0033628","regulation of cell adhesion mediated by integrin","4/151","49/18903",0.00062693666297202,0.0200824280529511,0.0159799770550171,"PODXL/LPXN/LIF/CYP1B1",4
"GO:0007411","axon guidance","8/151","236/18903",0.000629696449596872,0.0200824280529511,0.0159799770550171,"RAC2/EGR2/KALRN/WNT5A/SEMA3F/VEGFA/EPHA5/FZD3",8
"GO:0002237","response to molecule of bacterial origin","10/151","360/18903",0.000645695550106473,0.0200824280529511,0.0159799770550171,"PTGIR/TRIM6/WNT5A/ALPL/IL6/CD24/CXCL1/PTPN22/CLDN1/TNFRSF11A",10
"GO:0097485","neuron projection guidance","8/151","237/18903",0.000647361301033846,0.0200824280529511,0.0159799770550171,"RAC2/EGR2/KALRN/WNT5A/SEMA3F/VEGFA/EPHA5/FZD3",8
"GO:0001892","embryonic placenta development","5/151","87/18903",0.000664333215764574,0.0203849203054717,0.016220676000476,"LIF/CEBPA/LEF1/VASH2/HES1",5
"GO:0030595","leukocyte chemotaxis","8/151","240/18903",0.000702771404238507,0.0211055710017586,0.0167941117205484,"RAC2/WNT5A/IL6/IL16/VEGFA/CXCL1/MSTN/TNFRSF11A",8
"GO:0030225","macrophage differentiation","4/151","51/18903",0.000730369047496016,0.0214774148029297,0.0170899950368037,"LIF/CEBPA/VEGFA/ROR2",4
"GO:0032944","regulation of mononuclear cell proliferation","8/151","243/18903",0.000761945554428884,0.0217269929308357,0.0172885891882109,"RAC2/ST6GAL1/IL6/LRRC32/CD24/PTPN22/HES1/SOX11",8
"GO:0006493","protein O-linked glycosylation","5/151","90/18903",0.000775203954764983,0.0218840076430155,0.0174135288365103,"ST6GAL1/GALNT17/GALNT13/GALNT14/GALNT18",5
"GO:0046651","lymphocyte proliferation","9/151","305/18903",0.000786787884890391,0.0219911108816393,0.0174987529583751,"RAC2/IL6/LRRC32/CD24/LEF1/PTPN22/HES1/SOX11/RASGRP1",9
"GO:0010720","positive regulation of cell development","9/151","307/18903",0.000823968811785457,0.022583145200683,0.017969846135413,"EGR2/IL6/LIF/VEGFA/PTPRD/HES1/ISLR2/FZD3/SOX11",9
"GO:0031349","positive regulation of defense response","9/151","307/18903",0.000823968811785457,0.022583145200683,0.017969846135413,"TRIM6/WNT5A/IL6/IL16/CEBPA/GPR4/MMP12/RASGRP1/TNFRSF11A",9
"GO:0007162","negative regulation of cell adhesion","9/151","308/18903",0.00084308922622984,0.0225841487161514,0.0179706446521122,"PODXL/LPXN/RGCC/FGL2/LRRC32/VEGFA/CYP1B1/PTPN22/MMP12",9
"GO:0048732","gland development","11/151","441/18903",0.000848005584099203,0.0225841487161514,0.0179706446521122,"WNT5A/IL6/CEBPA/VEGFA/LEF1/CYP1B1/HES1/IRF6/RAP1GAP/CLDN1/TNFRSF11A",11
"GO:0010975","regulation of neuron projection development","11/151","446/18903",0.000929294787138788,0.0242907331860444,0.0193286069761615,"VLDLR/WNT5A/ITGA6/PRAG1/SEMA3F/SNAP25/VEGFA/ROR2/PTPRD/HES1/ISLR2",11
"GO:0010718","positive regulation of epithelial to mesenchymal transition","4/151","56/18903",0.00104083516608281,0.0255502406421893,0.0203308214592285,"IL6/RGCC/LEF1/PDPN",4
"GO:0002690","positive regulation of leukocyte chemotaxis","5/151","97/18903",0.00108714969458772,0.0260086744730604,0.0206956061396092,"RAC2/WNT5A/IL6/VEGFA/MSTN",5
"GO:0120032","regulation of plasma membrane bounded cell projection assembly","7/151","199/18903",0.00111009195728536,0.0263343663480384,0.0209547654740996,"RAC2/PODXL/PLEK2/ICAM1/INTU/RAP1GAP/MSTN",7
"GO:0007566","embryo implantation","4/151","59/18903",0.00126610669839804,0.0286757443964836,0.0228178453463452,"PCSK5/LIF/VEGFA/APELA",4
"GO:1903055","positive regulation of extracellular matrix organization","3/151","27/18903",0.00126973717660661,0.0286757443964836,0.0228178453463452,"IL6/RGCC/PDPN",3
"GO:2000737","negative regulation of stem cell differentiation","3/151","27/18903",0.00126973717660661,0.0286757443964836,0.0228178453463452,"TRIM6/PRICKLE1/HES1",3
"GO:0044331","cell-cell adhesion mediated by cadherin","3/151","28/18903",0.00141382544276198,0.0307017632685928,0.0244299878125835,"WNT5A/RGCC/VEGFA",3
"GO:0046425","regulation of receptor signaling pathway via JAK-STAT","5/151","104/18903",0.00148373371930794,0.031731668860654,0.0252495036443633,"IL6/LIF/CYP1B1/PTPRD/HES1",5
"GO:0071560","cellular response to transforming growth factor beta stimulus","8/151","271/18903",0.00153140483233255,0.0317879106005498,0.0252942562863596,"WNT5A/LPXN/LRRC32/CILP/MSTN/CLDN1/SOX11/SOX6",8
"GO:1901655","cellular response to ketone","5/151","105/18903",0.00154804344233254,0.0318987345817865,0.0253824410752027,"ADCY2/ADCY1/CYP1B1/ADCY5/MSTN",5
"GO:0070482","response to oxygen levels","9/151","337/18903",0.00157584855126,0.0320044637424963,0.0254665718166516,"GUCY1A2/FOXO1/RGCC/VEGFA/CD24/PDPN/GUCY1A1/EGLN3/CHRNA7",9
"GO:0002064","epithelial cell development","7/151","213/18903",0.001640792880788,0.0323945516058665,0.0257769722866376,"PODXL/WNT5A/ICAM1/CEBPA/GPR4/VEGFA/CLDN1",7
"GO:0033138","positive regulation of peptidyl-serine phosphorylation","5/151","108/18903",0.0017532920731513,0.0335177258423526,0.0266707037856631,"TRIM6/WNT5A/IL6/LIF/VEGFA",5
"GO:0071559","response to transforming growth factor beta","8/151","277/18903",0.00175721694107977,0.0335177258423526,0.0266707037856631,"WNT5A/LPXN/LRRC32/CILP/MSTN/CLDN1/SOX11/SOX6",8
